file_path,filename,title,creator,era,match_source
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\228 - The New Jedi Order_Agents of Chaos II - Jedi Eclipse.epub,228 - The New Jedi Order_Agents of Chaos II - Jedi Eclipse.epub,Book 05 - Agents of Chaos II - Jedi Eclipse,James Luceno,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\229 - The New Jedi Order_Balance Point.epub,229 - The New Jedi Order_Balance Point.epub,Book 06 - Balance Point,Kathy Tyers,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\230 - The New Jedi Order_Recovery.epub,230 - The New Jedi Order_Recovery.epub,Book 07 - Recovery,Troy Denning,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\231 - The New Jedi Order_Edge of Victory I - Conquest.epub,231 - The New Jedi Order_Edge of Victory I - Conquest.epub,Book 08 - Edge of Victory I - Conquest,Greg Keyes,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\232 - The New Jedi Order_Edge of Victory II - Rebirth.epub,232 - The New Jedi Order_Edge of Victory II - Rebirth.epub,Book 09 - Edge of Victory II - Rebirth,Greg Keyes,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\233 - The New Jedi Order_Star by Star.epub,233 - The New Jedi Order_Star by Star.epub,Book 10 - Star by Star,Troy Denning,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\234 - The New Jedi Order_Dark Journey.epub,234 - The New Jedi Order_Dark Journey.epub,Book 11 - Dark Journey,Elaine Cunningham,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\235 - The New Jedi Order_Enemy Lines I - Rebel Dream.epub,235 - The New Jedi Order_Enemy Lines I - Rebel Dream.epub,Book 12 - Enemy Lines I - Rebel Dreams,Aaron Allston,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\236 - The New Jedi Order_Enemy Lines II - Rebel Stand.epub,236 - The New Jedi Order_Enemy Lines II - Rebel Stand.epub,Book 13 - Enemy Lines II - Rebel Stand,Aaron Allston,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\237 - The New Jedi Order_Traitor.epub,237 - The New Jedi Order_Traitor.epub,Book 14 - Traitor,Matthew Stover,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\238 - The New Jedi Order_Destiny's Way.epub,238 - The New Jedi Order_Destiny's Way.epub,Book 15 - Destiny's Way,Walter Jon Williams,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\239 - The New Jedi Order_Ylesia.epub,239 - The New Jedi Order_Ylesia.epub,Book 16 - Ylesia,Walter Jon Williams,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\240 - The New Jedi Order_Force Heretic I - Remnant.epub,240 - The New Jedi Order_Force Heretic I - Remnant.epub,Book 17 - Force Heretic I - Remnant,Sean Williams,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\241 - The New Jedi Order_Force Heretic II - Refugee.epub,241 - The New Jedi Order_Force Heretic II - Refugee.epub,Book 18 - Force Heretic II - Refugee,Sean Williams,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\242 - The New Jedi Order_Force Heretic III - Reunion.epub,242 - The New Jedi Order_Force Heretic III - Reunion.epub,Book 19 - Force Heretic III - Reunion,Sean Williams,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\243 - The New Jedi Order_The Final Prophecy.epub,243 - The New Jedi Order_The Final Prophecy.epub,Book 20 - The Final Prophecy,Greg Keyes,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\244 - The New Jedi Order_The Unifying Force.epub,244 - The New Jedi Order_The Unifying Force.epub,Book 21 - The Unifying Force,James Luceno,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\245 - Dark Nest_The Joiner King.epub,245 - Dark Nest_The Joiner King.epub,Book 1 - The Joiner King,Troy Denning,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\246 - Dark Nest_The Unseen Queen.epub,246 - Dark Nest_The Unseen Queen.epub,Book 2 - The Unseen Queen,Troy Denning,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Jedi Order Era\Novels\247 - Dark Nest_The Swarm War.epub,247 - Dark Nest_The Swarm War.epub,Book 3 - The Swarm War,Troy Denning,,unmatched
